storage_class,block_size,read_mb_s,read_iops,write_mb_s,write_iops,total_mb_s,total_iops
freenas-iscsi-cold-csi,4k,67.90,16577,68.05,16613,135.95,33190
freenas-iscsi-cold-csi,64k,416.13,6349,418.32,6383,834.46,12732
freenas-iscsi-cold-csi,512k,133.47,254,140.56,268,274.03,522
freenas-iscsi-cold-csi,1m,55.02,52,58.69,55,113.71,107
freenas-iscsi-fast-csi,4k,69.76,17030,69.96,17080,139.72,34110
freenas-iscsi-fast-csi,64k,433.57,6615,435.85,6650,869.43,13265
freenas-iscsi-fast-csi,512k,219.90,419,231.58,441,451.48,860
freenas-iscsi-fast-csi,1m,208.12,198,221.98,211,430.10,409
freenas-iscsi-ssd-csi,4k,67.10,16381,67.23,16414,134.33,32795
freenas-iscsi-ssd-csi,64k,404.58,6173,406.71,6205,811.29,12378
freenas-iscsi-ssd-csi,512k,226.45,431,238.48,454,464.92,885
freenas-iscsi-ssd-csi,1m,159.62,152,170.25,162,329.87,314
lvms-vg1-worker,4k,335.73,81965,336.62,82182,672.35,164147
lvms-vg1-worker,64k,1555.44,23734,1563.63,23859,3119.08,47593
lvms-vg1-worker,512k,2490.37,4750,2622.69,5002,5113.06,9752
lvms-vg1-worker,1m,2973.21,2835,3171.23,3024,6144.44,5859
freenas-nfs-cold-csi,4k,1.44,350,1.46,356,2.90,706
freenas-nfs-cold-csi,64k,3.59,54,3.87,58,7.45,112
freenas-nfs-cold-csi,512k,15.65,29,17.07,32,32.71,61
freenas-nfs-cold-csi,1m,36.01,34,38.91,37,74.92,71
freenas-nfs-fast-csi,4k,33.47,8172,33.53,8187,67.01,16359
freenas-nfs-fast-csi,64k,351.93,5370,353.78,5398,705.71,10768
freenas-nfs-fast-csi,512k,973.89,1857,1025.63,1956,1999.52,3813
freenas-nfs-fast-csi,1m,1063.06,1013,1133.86,1081,2196.91,2094
freenas-nfs-ssd-csi,4k,10.15,2478,10.18,2486,20.33,4964
freenas-nfs-ssd-csi,64k,117.66,1795,118.28,1804,235.95,3599
freenas-nfs-ssd-csi,512k,370.97,707,390.68,745,761.65,1452
freenas-nfs-ssd-csi,1m,386.01,368,411.72,392,797.73,760
freenas-nvmeof-cold-csi,4k,328.93,80306,329.80,80518,658.74,160824
freenas-nvmeof-cold-csi,64k,1178.78,17986,1184.99,18081,2363.77,36067
freenas-nvmeof-cold-csi,512k,1578.80,3011,1662.69,3171,3241.48,6182
freenas-nvmeof-cold-csi,1m,69.09,65,73.69,70,142.77,135
freenas-nvmeof-fast-csi,4k,322.89,78831,323.74,79039,646.64,157870
freenas-nvmeof-fast-csi,64k,1154.01,17608,1160.09,17701,2314.10,35309
freenas-nvmeof-fast-csi,512k,1551.86,2959,1634.32,3117,3186.18,6076
freenas-nvmeof-fast-csi,1m,1469.79,1401,1567.67,1495,3037.46,2896
freenas-nvmeof-ssd-csi,4k,351.18,85737,352.11,85963,703.28,171700
freenas-nvmeof-ssd-csi,64k,1213.51,18516,1219.90,18614,2433.41,37130
freenas-nvmeof-ssd-csi,512k,1470.07,2803,1548.18,2952,3018.25,5755
freenas-nvmeof-ssd-csi,1m,1453.34,1386,1550.13,1478,3003.47,2864
