storage_class,putc_KBs,seq_write_MBs,seq_rewrite_MBs,getc_KBs,seq_read_MBs,random_seeks,seq_create,seq_stat,seq_del,ran_create,ran_stat,ran_del
freenas-iscsi-cold-csi,251,152.8,224.2,950,+++++,+++++,27734,383809,8075,23345,432365,3535
freenas-iscsi-fast-csi,410,399.9,438.5,1314,3338.6,+++++,34897,405092,32045,34856,464476,23508
freenas-iscsi-ssd-csi,412,368.1,424.1,1325,+++++,+++++,33600,404631,28491,34491,461874,20919
lvms-vg1-worker,608,905.8,985.9,1206,+++++,+++++,29851,428788,30534,29773,445670,23242
freenas-nfs-cold-csi,604,227.7,207.9,1180,+++++,+++++,25,110096,77,33,10429,26
freenas-nfs-fast-csi,616,627.7,676.4,1178,4075.6,+++++,343,108867,685,341,10789,688
freenas-nfs-ssd-csi,613,655.1,679.5,1179,+++++,+++++,214,110100,428,214,10550,422
freenas-nvmeof-cold-csi,391,121.5,49.5,1330,+++++,+++++,34118,388178,7251,20530,424065,1624
freenas-nvmeof-fast-csi,410,492.9,666.6,1321,3730.1,+++++,35222,397151,35475,35168,473759,27545
freenas-nvmeof-ssd-csi,409,441.1,457.9,1310,+++++,13268,34685,360223,28817,34625,457644,23046
