storage_class,block_size,read_mb_s,read_iops,write_mb_s,write_iops,total_mb_s,total_iops
freenas-iscsi-fast-csi,4k,71.85,17541,72.04,17587,143.89,35128
freenas-iscsi-fast-csi,64k,420.22,6412,422.43,6445,842.65,12857
freenas-iscsi-fast-csi,512k,262.90,501,276.87,528,539.77,1029
freenas-iscsi-fast-csi,1m,271.85,259,289.95,276,561.80,535
freenas-iscsi-ssd-csi,4k,54.40,13281,54.49,13302,108.89,26583
freenas-iscsi-ssd-csi,64k,355.73,5428,357.60,5456,713.33,10884
freenas-iscsi-ssd-csi,512k,232.07,442,244.40,466,476.48,908
freenas-iscsi-ssd-csi,1m,257.40,245,274.55,261,531.95,506
lvms-vg1-worker,4k,344.13,84017,345.04,84239,689.18,168256
lvms-vg1-worker,64k,1592.45,24298,1600.83,24426,3193.28,48724
lvms-vg1-worker,512k,2455.29,4683,2585.75,4931,5041.04,9614
lvms-vg1-worker,1m,2947.91,2811,3144.24,2998,6092.15,5809
freenas-nfs-cold-csi,4k,0.06,13,0.06,15,0.12,28
freenas-nfs-cold-csi,64k,2.28,34,2.49,37,4.77,71
freenas-nfs-cold-csi,512k,8.42,16,9.06,17,17.48,33
freenas-nfs-cold-csi,1m,14.52,13,15.98,15,30.50,28
freenas-nfs-fast-csi,4k,31.60,7715,31.63,7722,63.23,15437
freenas-nfs-fast-csi,64k,348.49,5317,350.33,5345,698.82,10662
freenas-nfs-fast-csi,512k,1052.80,2008,1108.73,2114,2161.53,4122
freenas-nfs-fast-csi,1m,1253.48,1195,1336.97,1275,2590.45,2470
freenas-nfs-ssd-csi,4k,7.32,1787,7.34,1793,14.66,3580
freenas-nfs-ssd-csi,64k,92.91,1417,93.40,1425,186.32,2842
freenas-nfs-ssd-csi,512k,296.09,564,311.83,594,607.92,1158
freenas-nfs-ssd-csi,1m,335.86,320,358.22,341,694.08,661
freenas-nvmeof-cold-csi,4k,0.40,98,0.42,103,0.83,201
freenas-nvmeof-cold-csi,64k,11.77,179,12.33,188,24.10,367
freenas-nvmeof-cold-csi,512k,18.78,35,20.17,38,38.95,73
freenas-nvmeof-cold-csi,1m,4.75,4,5.02,4,9.77,8
freenas-nvmeof-fast-csi,4k,284.06,69350,284.81,69533,568.87,138883
freenas-nvmeof-fast-csi,64k,1207.35,18422,1213.71,18519,2421.06,36941
freenas-nvmeof-fast-csi,512k,1460.83,2786,1538.45,2934,2999.28,5720
freenas-nvmeof-fast-csi,1m,1494.09,1424,1593.59,1519,3087.68,2943
freenas-nvmeof-ssd-csi,4k,64.49,15743,64.60,15771,129.08,31514
freenas-nvmeof-ssd-csi,64k,515.36,7863,518.07,7905,1033.44,15768
freenas-nvmeof-ssd-csi,512k,914.30,1743,962.87,1836,1877.17,3579
freenas-nvmeof-ssd-csi,1m,1275.80,1216,1360.77,1297,2636.57,2513
